title,artist,top genre,year,tempo,energy,danceability,loudness,liveness,valence,duration,acousticness,speechiness,track_popularity
"Hey, Soul Sister",Train,neo mellow,2010,97.0,89.0,67.0,-4.0,8.0,80.0,217.0,19.0,4.0,83
Love The Way You Lie,Eminem,detroit hip hop,2010,87.0,93.0,75.0,-5.0,52.0,64.0,263.0,24.0,23.0,82
TiK ToK,Kesha,dance pop,2010,120.0,84.0,76.0,-3.0,29.0,71.0,200.0,10.0,14.0,80
Bad Romance,Lady Gaga,dance pop,2010,119.0,92.0,70.0,-4.0,8.0,71.0,295.0,0.0,4.0,79
Just the Way You Are,Bruno Mars,pop,2010,109.0,84.0,64.0,-5.0,9.0,43.0,221.0,2.0,4.0,78
Baby,Justin Bieber,canadian pop,2010,65.0,86.0,73.0,-5.0,11.0,54.0,214.0,4.0,14.0,77
Dynamite,Taio Cruz,dance pop,2010,120.0,78.0,75.0,-4.0,4.0,82.0,203.0,0.0,9.0,77
Secrets,OneRepublic,dance pop,2010,148.0,76.0,52.0,-6.0,12.0,38.0,225.0,7.0,4.0,77
Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010,93.0,37.0,48.0,-8.0,12.0,14.0,216.0,74.0,3.0,76
Only Girl (In The World),Rihanna,barbadian pop,2010,126.0,72.0,79.0,-4.0,7.0,61.0,235.0,13.0,4.0,73
Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,128.0,87.0,62.0,-4.0,6.0,47.0,235.0,3.0,3.0,73
Marry You,Bruno Mars,pop,2010,145.0,83.0,62.0,-5.0,10.0,48.0,230.0,33.0,4.0,73
Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,130.0,82.0,77.0,-5.0,70.0,63.0,213.0,18.0,5.0,73
Telephone,Lady Gaga,dance pop,2010,122.0,83.0,83.0,-6.0,11.0,71.0,221.0,1.0,4.0,73
Like A G6,Far East Movement,dance pop,2010,125.0,84.0,44.0,-8.0,12.0,78.0,217.0,1.0,45.0,72
OMG (feat. will.i.am),Usher,atl hip hop,2010,130.0,75.0,78.0,-6.0,36.0,33.0,269.0,20.0,3.0,72
Eenie Meenie,Sean Kingston,dance pop,2010,121.0,61.0,72.0,-4.0,11.0,83.0,202.0,5.0,3.0,71
The Time (Dirty Bit),The Black Eyed Peas,dance pop,2010,128.0,81.0,82.0,-8.0,60.0,44.0,308.0,7.0,7.0,70
Alejandro,Lady Gaga,dance pop,2010,99.0,80.0,63.0,-7.0,36.0,37.0,274.0,0.0,5.0,69
Your Love Is My Drug,Kesha,dance pop,2010,120.0,61.0,83.0,-4.0,9.0,76.0,187.0,1.0,10.0,69
Meet Me Halfway,The Black Eyed Peas,dance pop,2010,130.0,63.0,80.0,-7.0,32.0,40.0,284.0,0.0,7.0,68
Whataya Want from Me,Adam Lambert,australian pop,2010,186.0,68.0,44.0,-5.0,6.0,45.0,227.0,1.0,5.0,66
Take It Off,Kesha,dance pop,2010,125.0,68.0,73.0,-5.0,9.0,74.0,215.0,0.0,3.0,66
Misery,Maroon 5,pop,2010,103.0,81.0,70.0,-5.0,22.0,73.0,216.0,0.0,4.0,65
All The Right Moves,OneRepublic,dance pop,2010,146.0,95.0,53.0,-4.0,28.0,65.0,238.0,26.0,5.0,65
Animal,Neon Trees,indie pop,2010,148.0,83.0,48.0,-6.0,38.0,74.0,212.0,0.0,4.0,65
Naturally,Selena Gomez & The Scene,dance pop,2010,133.0,90.0,61.0,-5.0,5.0,88.0,203.0,2.0,5.0,64
I Like It,Enrique Iglesias,dance pop,2010,129.0,94.0,65.0,-3.0,6.0,73.0,231.0,2.0,9.0,63
Teenage Dream,Katy Perry,dance pop,2010,120.0,80.0,72.0,-5.0,13.0,59.0,228.0,2.0,4.0,63
California Gurls,Katy Perry,dance pop,2010,125.0,75.0,79.0,-4.0,18.0,40.0,235.0,0.0,5.0,62
3,Britney Spears,dance pop,2010,135.0,71.0,70.0,-2.0,14.0,79.0,213.0,5.0,5.0,62
My First Kiss - feat. Ke$ha,3OH!3,dance pop,2010,138.0,89.0,68.0,-4.0,36.0,83.0,192.0,1.0,8.0,62
Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,2010,120.0,84.0,75.0,-3.0,42.0,52.0,172.0,8.0,12.0,62
Imma Be,The Black Eyed Peas,dance pop,2010,92.0,52.0,60.0,-7.0,31.0,41.0,258.0,18.0,37.0,62
Try Sleeping with a Broken Heart,Alicia Keys,hip pop,2010,111.0,82.0,50.0,-5.0,13.0,55.0,249.0,16.0,11.0,62
Sexy Bitch (feat. Akon),David Guetta,dance pop,2010,130.0,63.0,81.0,-5.0,13.0,80.0,196.0,8.0,5.0,61
Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,164.0,41.0,29.0,-5.0,13.0,7.0,264.0,83.0,3.0,61
If I Had You,Adam Lambert,australian pop,2010,131.0,91.0,65.0,-4.0,37.0,79.0,228.0,1.0,11.0,59
Rock That Body,The Black Eyed Peas,dance pop,2010,125.0,91.0,72.0,-6.0,43.0,84.0,269.0,2.0,10.0,59
Dog Days Are Over,Florence + The Machine,art pop,2010,150.0,81.0,50.0,-5.0,12.0,26.0,253.0,3.0,9.0,58
Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,150.0,85.0,51.0,-4.0,12.0,72.0,185.0,47.0,27.0,58
Doesn't Mean Anything,Alicia Keys,hip pop,2010,104.0,41.0,71.0,-7.0,10.0,10.0,273.0,4.0,3.0,57
Hard,Rihanna,barbadian pop,2010,182.0,75.0,31.0,-4.0,65.0,16.0,251.0,1.0,11.0,57
Loca,Shakira,colombian pop,2010,112.0,87.0,80.0,-4.0,9.0,85.0,193.0,19.0,7.0,56
