title,artist,followers,artist_popularity,year,tempo,energy,danceability,loudness,liveness,valence,duration,acousticness,speechiness,track_popularity,is_dance_pop
"Hey, Soul Sister",Train,3.693075,78,2010,97,89,67,-4,8,80,217,19,4,83,0
Love The Way You Lie,Eminem,44.814807,94,2010,87,93,75,-5,52,64,263,24,23,82,0
TiK ToK,Kesha,6.410236,81,2010,120,84,76,-3,29,71,200,10,14,80,1
Bad Romance,Lady Gaga,17.68018,89,2010,119,92,70,-4,8,71,295,0,4,79,1
Just the Way You Are,Bruno Mars,31.020064,93,2010,109,84,64,-5,9,43,221,2,4,78,0
Baby,Justin Bieber,46.280515,97,2010,65,86,73,-5,11,54,214,4,14,77,0
Dynamite,Taio Cruz,1.93639,75,2010,120,78,75,-4,4,82,203,0,9,77,1
Secrets,OneRepublic,11.875281,86,2010,148,76,52,-6,12,38,225,7,4,77,1
Empire State of Mind (Part II) Broken Down,Alicia Keys,8.702335,82,2010,93,37,48,-8,12,14,216,74,3,76,0
Only Girl (In The World),Rihanna,43.069731,92,2010,126,72,79,-4,7,61,235,13,4,73,0
Club Can't Handle Me (feat. David Guetta),Flo Rida,8.090245,83,2010,128,87,62,-4,6,47,235,3,3,73,1
Marry You,Bruno Mars,31.020064,93,2010,145,83,62,-5,10,48,230,33,4,73,0
Cooler Than Me - Single Mix,Mike Posner,1.153346,77,2010,130,82,77,-5,70,63,213,18,5,73,1
Telephone,Lady Gaga,17.68018,89,2010,122,83,83,-6,11,71,221,1,4,73,1
Like A G6,Far East Movement,1.03537,70,2010,125,84,44,-8,12,78,217,1,45,72,1
OMG (feat. will.i.am),Usher,8.745545,84,2010,130,75,78,-6,36,33,269,20,3,72,0
Eenie Meenie,Sean Kingston,2.129817,75,2010,121,61,72,-4,11,83,202,5,3,71,1
The Time (Dirty Bit),The Black Eyed Peas,10.823572,85,2010,128,81,82,-8,60,44,308,7,7,70,1
Alejandro,Lady Gaga,17.68018,89,2010,99,80,63,-7,36,37,274,0,5,69,1
Your Love Is My Drug,Kesha,6.410236,81,2010,120,61,83,-4,9,76,187,1,10,69,1
Meet Me Halfway,The Black Eyed Peas,10.823572,85,2010,130,63,80,-7,32,40,284,0,7,68,1
